,n,p_contradiction,p_entailment,p_neutral,boundary
mud,1199,0.41451209341117595,0.2652210175145955,0.3202668890742285,0.4008236558528338
so,1197,0.24979114452798662,0.15873015873015872,0.5914786967418546,0.40088001521340216
puppy,1196,0.338628762541806,0.2140468227424749,0.44732441471571904,0.40090824789253676
fair,1182,0.26903553299492383,0.27580372250423013,0.45516074450084604,0.40130725971276393
goal,1182,0.2859560067681895,0.2868020304568528,0.4272419627749577,0.40130725971276393
pond,1167,0.414738646101114,0.24592973436161097,0.3393316195372751,0.4017427153281279
project,1154,0.23483535528596186,0.29462738301559793,0.47053726169844023,0.4021269576960214
been,1141,0.2427695004382121,0.2462751971954426,0.5109553023663453,0.4025177483060568
summer,1138,0.37082601054481545,0.17750439367311072,0.45166959578207383,0.4026088803960198
buying,1134,0.35714285714285715,0.19223985890652556,0.4506172839506173,0.40273095193926456
fast,1128,0.3519503546099291,0.21365248226950354,0.43439716312056736,0.4029152752880998
climb,1124,0.3069395017793594,0.2820284697508897,0.4110320284697509,0.4030389766158942
drives,1121,0.47100802854594115,0.26672613737734163,0.2622658340767172,0.4031321867889566
piano,1117,0.5102954341987467,0.23903312444046554,0.25067144136078784,0.40325705066954387
games,1109,0.5401262398557258,0.19116321009918846,0.26871055004508565,0.40350880204138423
clean,1107,0.35862691960252935,0.23667570009033423,0.4046973803071364,0.4035721659086573
married,1093,0.18938700823421775,0.19579139981701738,0.6148215919487648,0.40402057158279
but,1092,0.3415750915750916,0.2518315018315018,0.4065934065934066,0.4040529301279728
put,1091,0.29514207149404215,0.2841429880843263,0.42071494042163154,0.40408533315225936
enjoys,1086,0.22099447513812154,0.26611418047882135,0.5128913443830571,0.4042480190415001
song,1085,0.2055299539170507,0.21566820276497695,0.5788018433179724,0.40428069109377857
homeless,1085,0.22672811059907835,0.20276497695852536,0.5705069124423963,0.40428069109377857
chef,1072,0.3041044776119403,0.2789179104477612,0.41697761194029853,0.40470957928339135
touching,1068,0.23876404494382023,0.5159176029962547,0.24531835205992508,0.40484311774616266
nice,1066,0.275797373358349,0.29362101313320826,0.43058161350844276,0.4049101686604833
had,1060,0.27641509433962264,0.25,0.47358490566037736,0.4051124587538981
things,1056,0.19318181818181818,0.4990530303030303,0.3077651515151515,0.4052482755743452
parents,1052,0.22813688212927757,0.1397338403041825,0.6321292775665399,0.405384866280969
dry,1032,0.5,0.23546511627906977,0.26453488372093026,0.4060796898106608
celebrating,1032,0.19476744186046513,0.2248062015503876,0.5804263565891473,0.4060796898106608
help,1027,0.2560856864654333,0.3028237585199611,0.44109055501460565,0.40625655940427463
sport,1017,0.19370698131760078,0.5496558505408063,0.25663716814159293,0.40661420365883755
device,1000,0.28,0.422,0.298,0.4072344660506987
will,999,0.23723723723723725,0.19119119119119118,0.5715715715715716,0.4072714443530964
sale,998,0.2745490981963928,0.3096192384769539,0.41583166332665333,0.40730847822019184
weather,991,0.24217961654894046,0.29969727547931385,0.4581231079717457,0.4075692828640981
meeting,975,0.3117948717948718,0.2041025641025641,0.4841025641025641,0.40817591970828393
job,973,0.21788283658787255,0.24665981500513876,0.5354573484069887,0.4082527996323805
pizza,972,0.5617283950617284,0.15637860082304528,0.28189300411522633,0.4082913285453408
tourists,966,0.2701863354037267,0.2577639751552795,0.4720496894409938,0.4085237569952962
museum,961,0.33714880332986474,0.25286160249739853,0.4099895941727367,0.40871910786664395
porch,957,0.47335423197492166,0.2507836990595611,0.27586206896551724,0.40887648961317535
mom,953,0.2570828961175236,0.19517313746065057,0.5477439664218258,0.40903486118381893
fans,949,0.2781875658587987,0.30031612223393045,0.4214963119072708,0.40919423299780266
teacher,948,0.29430379746835444,0.2510548523206751,0.45464135021097046,0.40923423347496374
chases,941,0.49309245483528164,0.20191285866099895,0.30499468650371947,0.4095160198066304
happily,941,0.1944739638682253,0.18703506907545164,0.6184909670563231,0.4095160198066304
prepare,928,0.2769396551724138,0.27586206896551724,0.44719827586206895,0.41004777118643987
without,926,0.4654427645788337,0.2602591792656587,0.27429805615550756,0.4101305714672637
indoor,924,0.41774891774891776,0.2803030303030303,0.30194805194805197,0.4102136404349057
practice,918,0.2821350762527233,0.25381263616557737,0.46405228758169936,0.41046447407720277
cow,916,0.44541484716157204,0.2609170305676856,0.29366812227074235,0.4105486324663875
fall,913,0.28696604600219056,0.2322015334063527,0.48083242059145676,0.4106753881727249
cats,911,0.8792535675082327,0.048298572996706916,0.07244785949506037,0.4107602396023454
swims,907,0.46416758544652703,0.2679162072767365,0.2679162072767365,0.4109307836553801
multiple,901,0.24972253052164262,0.4938956714761376,0.2563817980022198,0.4111887260298627
customers,891,0.2895622895622896,0.2884399551066218,0.4219977553310887,0.41162440594320143
library,889,0.5219347581552306,0.20584926884139482,0.2722159730033746,0.41171242291603305
shooting,885,0.4192090395480226,0.26666666666666666,0.31412429378531076,0.41188935110862196
funny,874,0.2036613272311213,0.23684210526315788,0.5594965675057209,0.41238215103472686
learning,869,0.2520138089758343,0.19907940161104717,0.5489067894131185,0.4126092380228284
caught,868,0.30184331797235026,0.2557603686635945,0.4423963133640553,0.41265489072150974
got,867,0.20761245674740483,0.15340253748558247,0.6389850057670127,0.41270062238134125
present,851,0.2972972972972973,0.43478260869565216,0.2679200940070505,0.4134432564693138
blonde,844,0.3518957345971564,0.22156398104265404,0.4265402843601896,0.41377477988517414
television,842,0.6733966745843231,0.13182897862232779,0.19477434679334918,0.4138702593805655
warm,836,0.2894736842105263,0.2703349282296651,0.44019138755980863,0.4141587507857118
teaching,832,0.26802884615384615,0.234375,0.49759615384615385,0.41435280969038124
hospital,821,0.4299634591961023,0.26065773447015833,0.3093788063337393,0.4148937651620383
favorite,820,0.12560975609756098,0.045121951219512194,0.8292682926829268,0.4149434819797176
more,812,0.1625615763546798,0.5012315270935961,0.33620689655172414,0.4153445170662724
york,800,0.28,0.25,0.47,0.4159573115184646
speech,799,0.2565707133917397,0.2928660826032541,0.45056320400500627,0.41600899996780244
buy,799,0.21026282853566958,0.16520650813516896,0.6245306633291614,0.41600899996780244
student,795,0.2930817610062893,0.27672955974842767,0.43018867924528303,0.4162167281008513
sleep,792,0.6843434343434344,0.11994949494949494,0.19570707070707072,0.4163735558565425
garage,780,0.49615384615384617,0.2282051282051282,0.27564102564102566,0.41700988870647787
bath,768,0.4973958333333333,0.21484375,0.2877604166666667,0.41766107794684176
tool,767,0.26988265971316816,0.41851368970013036,0.3116036505867014,0.41771603249461875
participating,762,0.23097112860892388,0.34908136482939633,0.4199475065616798,0.4179924259604596
winning,759,0.10144927536231885,0.05665349143610013,0.841897233201581,0.41815957141958315
than,758,0.12532981530343007,0.5804749340369393,0.2941952506596306,0.41821550696017296
bathroom,758,0.48021108179419525,0.22163588390501318,0.29815303430079154,0.41821550696017296
photos,754,0.25862068965517243,0.2984084880636605,0.44297082228116713,0.41844036079418606
try,754,0.27718832891246686,0.2480106100795756,0.47480106100795755,0.41844036079418606
sofa,746,0.4959785522788204,0.26005361930294907,0.24396782841823056,0.41889548183318726
broken,741,0.3724696356275304,0.1862348178137652,0.44129554655870445,0.41918366772323434
falls,738,0.45934959349593496,0.21951219512195122,0.32113821138211385,0.41935798330249385
tired,736,0.13451086956521738,0.17798913043478262,0.6875,0.41947478532501925
training,735,0.21496598639455783,0.23673469387755103,0.5482993197278911,0.419533365033926
bank,734,0.4223433242506812,0.2356948228882834,0.3419618528610354,0.41959206441539715
space,733,0.4815825375170532,0.26193724420190995,0.25648021828103684,0.4196508838774536
win,730,0.13424657534246576,0.12191780821917808,0.7438356164383562,0.4198280668566727
great,717,0.2384937238493724,0.24546722454672246,0.5160390516039052,0.42060866687645
start,717,0.2608089260808926,0.22733612273361228,0.5118549511854951,0.42060866687645
college,707,0.26732673267326734,0.22913719943422914,0.5035360678925035,0.4212237226436057
cards,704,0.484375,0.25142045454545453,0.26420454545454547,0.42141079001943493
bear,703,0.4793741109530583,0.20625889046941678,0.31436699857752487,0.42147341175268266
still,694,0.5086455331412104,0.2276657060518732,0.26368876080691644,0.4220430842578608
vacation,692,0.0968208092485549,0.044797687861271675,0.8583815028901735,0.4221711850479503
trip,691,0.18958031837916064,0.14037626628075253,0.6700434153400868,0.4222354439002689
everyone,689,0.6328011611030478,0.12917271407837447,0.23802612481857766,0.42236438103918594
repairing,686,0.2813411078717201,0.2696793002915452,0.4489795918367347,0.4225588429695306
sell,680,0.25441176470588234,0.23970588235294119,0.5058823529411764,0.4229516204058293
theater,680,0.611764705882353,0.14558823529411766,0.2426470588235294,0.4229516204058293
castle,680,0.3088235294117647,0.23529411764705882,0.45588235294117646,0.4229516204058293
if,678,0.2610619469026549,0.26843657817109146,0.47050147492625366,0.42308370343560675
husband,672,0.20089285714285715,0.05505952380952381,0.7440476190476191,0.4234834843456534
brother,671,0.21758569299552907,0.12667660208643816,0.6557377049180327,0.42355063530543924
fetch,669,0.18086696562032886,0.09865470852017937,0.7204783258594918,0.4236853886321804
model,668,0.25299401197604793,0.23652694610778444,0.5104790419161677,0.4237529921248402
protest,667,0.27136431784107945,0.22338830584707647,0.5052473763118441,0.4238207475924159
lost,662,0.283987915407855,0.06042296072507553,0.6555891238670695,0.4241618246186599
compete,654,0.26299694189602446,0.28440366972477066,0.4525993883792049,0.42471566201494815
world,653,0.28024502297090353,0.17151607963246554,0.5482388973966309,0.4247856064022887
dead,652,0.5690184049079755,0.15950920245398773,0.2714723926380368,0.42485571164299324
cheering,652,0.2684049079754601,0.2822085889570552,0.4493865030674847,0.42485571164299324
brothers,650,0.13846153846153847,0.06153846153846154,0.8,0.4249964071577361
angry,646,0.46439628482972134,0.10835913312693499,0.42724458204334365,0.425279755820667
pick,645,0.27906976744186046,0.23565891472868217,0.48527131782945737,0.42535100451209246
protesting,645,0.23255813953488372,0.23875968992248062,0.5286821705426357,0.42535100451209246
done,644,0.265527950310559,0.2701863354037267,0.4642857142857143,0.4254224190910832
order,644,0.2639751552795031,0.2484472049689441,0.48757763975155277,0.4254224190910832
nothing,643,0.8755832037325039,0.05132192846034215,0.07309486780715396,0.4254940002023637
hotel,638,0.44043887147335425,0.21786833855799373,0.34169278996865204,0.4258544265558031
tea,637,0.543171114599686,0.18524332810047095,0.271585557299843,0.42592702059853094
chess,631,0.5293185419968305,0.20602218700475436,0.26465927099841524,0.42636620260709307
sandwich,630,0.5142857142857142,0.17777777777777778,0.30793650793650795,0.42644000894101314
years,627,0.2567783094098884,0.1547049441786284,0.5885167464114832,0.4266624863803225
discussing,626,0.25878594249201275,0.21725239616613418,0.5239616613418531,0.4267370006860424
fix,625,0.2432,0.2496,0.5072,0.42681169375463845
elephant,619,0.4604200323101777,0.2407108239095315,0.2988691437802908,0.4272636465606835
sisters,618,0.1488673139158576,0.07119741100323625,0.7799352750809061,0.42733961124210684
farm,618,0.3268608414239482,0.2313915857605178,0.441747572815534,0.42733961124210684
wants,616,0.12337662337662338,0.17857142857142858,0.698051948051948,0.4274920951669945
excited,609,0.20689655172413793,0.24958949096880131,0.5435139573070608,0.4280316913428778
pet,606,0.3432343234323432,0.2079207920792079,0.44884488448844884,0.4282658038336655
single,603,0.5953565505804311,0.19237147595356552,0.21227197346600332,0.42850166126674405
too,602,0.36212624584717606,0.19933554817275748,0.43853820598006643,0.4285806719303602
fell,596,0.38422818791946306,0.15100671140939598,0.46476510067114096,0.42905890425197946
practices,595,0.2672268907563025,0.2571428571428571,0.4756302521008403,0.42913931213757106
come,592,0.2483108108108108,0.22804054054054054,0.5236486486486487,0.42938175700975684
lead,590,0.2864406779661017,0.27288135593220336,0.4406779661016949,0.4295444132205646
date,588,0.11564625850340136,0.025510204081632654,0.858843537414966,0.4297078986059144
hall,588,0.4370748299319728,0.24319727891156462,0.3197278911564626,0.4297078986059144
tournament,581,0.17900172117039587,0.1359724612736661,0.685025817555938,0.4302867300281033
finish,576,0.2604166666666667,0.21006944444444445,0.5295138888888888,0.4307066254388595
dad,574,0.2961672473867596,0.18815331010452963,0.5156794425087108,0.43087611780752433
objects,572,0.26223776223776224,0.46153846153846156,0.2762237762237762,0.4310464983469327
shoot,571,0.23992994746059546,0.24168126094570927,0.5183887915936952,0.43113202410948853
tour,569,0.2618629173989455,0.17223198594024605,0.5659050966608085,0.4313037515302001
puppies,566,0.3250883392226148,0.19434628975265017,0.48056537102473496,0.43156304731195044
olympics,565,0.23185840707964603,0.18938053097345134,0.5787610619469027,0.4316499378322381
groceries,549,0.31693989071038253,0.23861566484517305,0.4444444444444444,0.4330723134132219
love,548,0.24635036496350365,0.20072992700729927,0.5529197080291971,0.4331632746542701
tourist,543,0.27255985267034993,0.283609576427256,0.4438305709023941,0.43362184363324824
transportation,542,0.2656826568265683,0.45202952029520294,0.2822878228782288,0.4337143180745644
highway,542,0.544280442804428,0.1918819188191882,0.26383763837638374,0.4337143180745644
shower,541,0.6044362292051756,0.16081330868761554,0.23475046210720887,0.4338070487961785
likes,536,0.1044776119402985,0.17537313432835822,0.7201492537313433,0.43427458838718314
camping,532,0.2650375939849624,0.22180451127819548,0.5131578947368421,0.4346533561534366
farmers,528,0.2708333333333333,0.2556818181818182,0.4734848484848485,0.4350364199878501
when,527,0.2827324478178368,0.21062618595825428,0.5066413662239089,0.43513286674888296
meet,526,0.2338403041825095,0.17490494296577946,0.591254752851711,0.4352295884176516
flute,523,0.5200764818355641,0.21414913957934992,0.26577437858508607,0.43552141599874483
best,522,0.15900383141762453,0.08812260536398467,0.7528735632183908,0.43561925047080874
pretty,519,0.25626204238921,0.27552986512524086,0.4682080924855491,0.4359144485366576
childs,517,0.28820116054158607,0.26499032882011603,0.44680851063829785,0.4361126730987284
chocolate,514,0.33657587548638135,0.2237354085603113,0.4396887159533074,0.4364121764235636
halloween,510,0.18823529411764706,0.12549019607843137,0.6862745098039216,0.4368156176645708
chase,505,0.3326732673267327,0.21188118811881188,0.45544554455445546,0.4373266443987847
least,504,0.08333333333333333,0.7936507936507936,0.12301587301587301,0.43742976124223015
bedroom,502,0.5796812749003984,0.1752988047808765,0.2450199203187251,0.43763691851759307
hike,499,0.23847695390781562,0.218436873747495,0.5430861723446894,0.4379499865108433
circus,497,0.30784708249496984,0.0744466800804829,0.6177062374245473,0.438160271453039
doesnt,497,0.579476861167002,0.07645875251509054,0.3440643863179074,0.438160271453039
contest,495,0.21616161616161617,0.18383838383838383,0.6,0.4383718295655555
star,495,0.298989898989899,0.23434343434343435,0.4666666666666667,0.4383718295655555
ceremony,490,0.24897959183673468,0.29183673469387755,0.45918367346938777,0.43890638007242666
last,483,0.2463768115942029,0.12836438923395446,0.6252587991718427,0.43966865023666013
customer,481,0.2702702702702703,0.2785862785862786,0.45114345114345117,0.4398894922542055
sister,479,0.23799582463465555,0.08350730688935282,0.6784968684759917,0.44011171597612936
exercising,476,0.1869747899159664,0.4411764705882353,0.37184873949579833,0.4404476739619232
fat,476,0.2542016806722689,0.19327731092436976,0.5525210084033614,0.4404476739619232
quickly,475,0.25263157894736843,0.30526315789473685,0.4421052631578947,0.4405603666186863
score,473,0.21987315010570824,0.22410147991543342,0.5560253699788583,0.4407868231186326
sat,473,0.5560253699788583,0.23890063424947147,0.20507399577167018,0.4407868231186326
heading,472,0.2097457627118644,0.19915254237288135,0.5911016949152542,0.44090059074158927
theres,470,0.23191489361702128,0.5638297872340425,0.20425531914893616,0.44112921428836604
moon,468,0.7841880341880342,0.06623931623931624,0.14957264957264957,0.4413593018093972
reach,466,0.2832618025751073,0.27253218884120173,0.44420600858369097,0.441590868995767
company,460,0.2,0.2608695652173913,0.5391304347826087,0.44229460903244344
soda,459,0.46187363834422657,0.21350762527233116,0.32461873638344224,0.44241323865462145
find,453,0.22737306843267108,0.1456953642384106,0.6269315673289183,0.4431332458464133
mouse,453,0.5099337748344371,0.2229580573951435,0.2671081677704194,0.4431332458464133
pretending,452,0.23008849557522124,0.23672566371681417,0.5331858407079646,0.44325463882158966
knitting,449,0.49888641425389757,0.23608017817371937,0.2650334075723831,0.4436212478621374
finished,440,0.20909090909090908,0.1431818181818182,0.6477272727272727,0.44474348279049625
napping,438,0.7397260273972602,0.1141552511415525,0.1461187214611872,0.4449975541568472
give,437,0.2723112128146453,0.21967963386727687,0.5080091533180778,0.44512524341620247
know,437,0.2929061784897025,0.18077803203661327,0.5263157894736842,0.44512524341620247
milk,433,0.45958429561200925,0.20323325635103925,0.3371824480369515,0.44564041623757883
war,429,0.30303030303030304,0.1888111888111888,0.5081585081585082,0.4461627775812772
act,424,0.28773584905660377,0.25471698113207547,0.45754716981132076,0.4468260957252715
gift,421,0.23515439429928742,0.26128266033254155,0.503562945368171,0.4472297464211681
repair,418,0.24880382775119617,0.2966507177033493,0.45454545454545453,0.44763773487895403
olympic,416,0.2403846153846154,0.21875,0.5408653846153846,0.4479121756138368
burning,415,0.4602409638554217,0.25060240963855424,0.2891566265060241,0.4480501393510865
straight,414,0.45652173913043476,0.27053140096618356,0.27294685990338163,0.44818860265558125
yelling,414,0.4975845410628019,0.18357487922705315,0.3188405797101449,0.44818860265558125
cool,412,0.279126213592233,0.2524271844660194,0.4684466019417476,0.44846704008071614
morning,411,0.30900243309002434,0.1654501216545012,0.5255474452554745,0.44860702032298816
any,409,0.7481662591687042,0.07334963325183375,0.1784841075794621,0.4488885193672755
almost,407,0.22113022113022113,0.25307125307125306,0.5257985257985258,0.44917209080234594
breakfast,404,0.4628712871287129,0.12871287128712872,0.4084158415841584,0.4496013897071485
headed,403,0.2531017369727047,0.2531017369727047,0.49379652605459057,0.44974555350260326
accident,403,0.2555831265508685,0.24317617866004962,0.5012406947890818,0.44974555350260326
admiring,402,0.23383084577114427,0.2810945273631841,0.48507462686567165,0.449890254888691
monkey,399,0.5388471177944862,0.17042606516290726,0.2907268170426065,0.45032761823230466
championship,396,0.07575757575757576,0.030303030303030304,0.8939393939393939,0.4507699422481355
visiting,396,0.24494949494949494,0.21717171717171718,0.5378787878787878,0.4507699422481355
took,395,0.3240506329113924,0.19746835443037974,0.47848101265822784,0.450918502217608
really,390,0.3487179487179487,0.1717948717948718,0.4794871794871795,0.4516698527946977
late,386,0.2616580310880829,0.15803108808290156,0.5803108808290155,0.45228141510768144
call,385,0.2727272727272727,0.24675324675324675,0.4805194805194805,0.452435792955614
quietly,385,0.8207792207792208,0.07272727272727272,0.10649350649350649,0.452435792955614
build,385,0.24935064935064935,0.18961038961038962,0.561038961038961,0.452435792955614
rally,384,0.2864583333333333,0.2552083333333333,0.4583333333333333,0.4525907734500917
entertaining,384,0.19791666666666666,0.3229166666666667,0.4791666666666667,0.4525907734500917
storm,379,0.3113456464379947,0.17150395778364116,0.5171503957783641,0.4533748544801177
pets,378,0.4947089947089947,0.21164021164021163,0.29365079365079366,0.45353353468309343
thinking,374,0.18181818181818182,0.15775401069518716,0.660427807486631,0.4541746069702696
injured,372,0.27419354838709675,0.260752688172043,0.4650537634408602,0.4544990136577007
won,371,0.14016172506738545,0.14555256064690028,0.7142857142857143,0.45466219983309764
raining,371,0.29649595687331537,0.18867924528301888,0.5148247978436657,0.45466219983309764
girlfriend,369,0.2140921409214092,0.0975609756097561,0.6883468834688347,0.45499056001811844
interacting,366,0.2185792349726776,0.5628415300546448,0.2185792349726776,0.45548813766400464
famous,365,0.11506849315068493,0.08767123287671233,0.7972602739726027,0.4556553585558867
zoo,365,0.5260273972602739,0.1095890410958904,0.3643835616438356,0.4556553585558867
baking,364,0.6098901098901099,0.17582417582417584,0.21428571428571427,0.455823268072434
bathtub,364,0.5521978021978022,0.20054945054945056,0.24725274725274726,0.455823268072434
hes,364,0.2692307692307692,0.23901098901098902,0.49175824175824173,0.455823268072434
activity,363,0.1790633608815427,0.559228650137741,0.26170798898071623,0.45599187095298194
scared,349,0.23782234957020057,0.10601719197707736,0.6561604584527221,0.4584278811510696
celebrate,348,0.2442528735632184,0.20689655172413793,0.5488505747126436,0.45860748576304144
drunk,347,0.2622478386167147,0.10086455331412104,0.6368876080691642,0.45878786620553935
cows,342,0.49415204678362573,0.22514619883040934,0.2807017543859649,0.4597016039376479
test,341,0.49853372434017595,0.11730205278592376,0.3841642228739003,0.45988675901219306
bored,341,0.3460410557184751,0.15835777126099707,0.49560117302052786,0.45988675901219306
news,341,0.2756598240469208,0.18475073313782991,0.5395894428152492,0.45988675901219306
camp,339,0.2949852507374631,0.23008849557522124,0.4749262536873156,0.46025952395997316
science,339,0.27728613569321536,0.25073746312684364,0.471976401179941,0.46025952395997316
keep,338,0.24260355029585798,0.28106508875739644,0.47633136094674555,0.460447145925843
completely,336,0.6607142857142857,0.13690476190476192,0.20238095238095238,0.460824899544939
skills,335,0.20298507462686566,0.31044776119402984,0.48656716417910445,0.46101504367179236
anything,331,0.8882175226586103,0.045317220543806644,0.06646525679758308,0.4617842175589286
ran,329,0.47112462006079026,0.19756838905775076,0.331306990881459,0.4621740542191929
farmer,327,0.2018348623853211,0.14984709480122324,0.6483180428134556,0.46256746191610887
asking,327,0.2415902140672783,0.23547400611620795,0.5229357798165137,0.46256746191610887
threw,321,0.3395638629283489,0.19003115264797507,0.470404984423676,0.46376966574421735
never,319,0.6865203761755486,0.034482758620689655,0.27899686520376177,0.46417791817413556
want,318,0.18553459119496854,0.17295597484276728,0.6415094339622641,0.46438348716945277
mcdonalds,317,0.47003154574132494,0.2302839116719243,0.2996845425867508,0.4645900281231983
hungry,316,0.14873417721518986,0.1360759493670886,0.7151898734177216,0.464797548718849
loves,316,0.1518987341772152,0.11075949367088607,0.7373417721518988,0.464797548718849
service,314,0.2802547770700637,0.23248407643312102,0.4872611464968153,0.4652155599975178
lion,314,0.5031847133757962,0.21019108280254778,0.28662420382165604,0.4652155599975178
frowning,312,0.8461538461538461,0.08012820512820513,0.07371794871794872,0.46563758420150203
fireplace,311,0.6430868167202572,0.16720257234726688,0.18971061093247588,0.4658501212876964
poker,311,0.6302250803858521,0.08681672025723473,0.2829581993569132,0.4658501212876964
clothed,308,0.2987012987012987,0.5227272727272727,0.17857142857142858,0.4664939313347551
siblings,308,0.05194805194805195,0.045454545454545456,0.9025974025974026,0.4664939313347551
currently,308,0.288961038961039,0.4675324675324675,0.2435064935064935,0.4664939313347551
screaming,307,0.495114006514658,0.20195439739413681,0.30293159609120524,0.4667106289524767
nude,306,0.6470588235294118,0.15359477124183007,0.19934640522875818,0.46692838794746105
tuxedo,306,0.48366013071895425,0.2549019607843137,0.26143790849673204,0.46692838794746105
bad,306,0.28431372549019607,0.15359477124183007,0.5620915032679739,0.46692838794746105
checkers,306,0.4673202614379085,0.24836601307189543,0.28431372549019607,0.46692838794746105
lounging,304,0.47039473684210525,0.26973684210526316,0.2598684210526316,0.4673671249400245
motion,302,0.22185430463576158,0.5331125827814569,0.24503311258278146,0.46781021306297316
mothers,301,0.27906976744186046,0.17940199335548174,0.5415282392026578,0.4680334113571911
afternoon,300,0.33666666666666667,0.19333333333333333,0.47,0.4682577247149468
year,298,0.2080536912751678,0.09395973154362416,0.697986577181208,0.46870973399239024
cookies,298,0.5335570469798657,0.14093959731543623,0.32550335570469796,0.46870973399239024
tuba,295,0.4745762711864407,0.2440677966101695,0.28135593220338984,0.46939634736041713
pie,293,0.552901023890785,0.18088737201365188,0.26621160409556316,0.46985993648558455
cries,293,0.5733788395904437,0.17747440273037543,0.24914675767918087,0.46985993648558455
pig,293,0.5563139931740614,0.19795221843003413,0.24573378839590443,0.46985993648558455
sees,292,0.20205479452054795,0.2842465753424658,0.5136986301369864,0.47009351510486985
dangerous,292,0.2191780821917808,0.24315068493150685,0.5376712328767124,0.47009351510486985
times,292,0.2808219178082192,0.2363013698630137,0.4828767123287671,0.47009351510486985
cheese,290,0.4896551724137931,0.2206896551724138,0.2896551724137931,0.47056429164951674
dolls,289,0.532871972318339,0.2041522491349481,0.2629757785467128,0.47080151042348795
state,289,0.2768166089965398,0.18339100346020762,0.5397923875432526,0.47080151042348795
scientist,287,0.22996515679442509,0.24738675958188153,0.5226480836236934,0.47127966204837
owners,285,0.3157894736842105,0.13333333333333333,0.5508771929824562,0.47176283805913344
dont,284,0.6725352112676056,0.07394366197183098,0.2535211267605634,0.4720063378158823
sunbathing,282,0.6312056737588653,0.14893617021276595,0.2198581560283688,0.4724972172428663
funeral,282,0.5851063829787234,0.014184397163120567,0.40070921985815605,0.4724972172428663
breaking,281,0.501779359430605,0.19572953736654805,0.302491103202847,0.4727446198984551
rabbit,280,0.375,0.08928571428571429,0.5357142857142857,0.47299334674485305
avoid,277,0.2851985559566787,0.23104693140794225,0.48375451263537905,0.4737475917260002
found,276,0.25,0.1956521739130435,0.5543478260869565,0.4740017353880561
hunting,275,0.4036363636363636,0.10909090909090909,0.48727272727272725,0.4742572640310959
quiet,275,0.5745454545454546,0.1781818181818182,0.24727272727272728,0.4742572640310959
needs,273,0.17216117216117216,0.2673992673992674,0.5604395604395604,0.47477252692261224
record,273,0.2087912087912088,0.21978021978021978,0.5714285714285714,0.47477252692261224
basement,272,0.6507352941176471,0.14338235294117646,0.20588235294117646,0.47503228690928867
retriever,270,0.26296296296296295,0.24444444444444444,0.4925925925925926,0.47555612955929716
begin,269,0.25650557620817843,0.19330855018587362,0.550185873605948,0.4758202389719727
community,269,0.26022304832713755,0.23048327137546468,0.5092936802973977,0.4758202389719727
change,268,0.29850746268656714,0.1865671641791045,0.5149253731343284,0.4760858252334494
elevator,267,0.5468164794007491,0.20599250936329588,0.24719101123595505,0.476352902158992
bone,266,0.4849624060150376,0.06766917293233082,0.4473684210526316,0.47662148374547486
tips,265,0.2188679245283019,0.19622641509433963,0.5849056603773585,0.476891584174463
important,264,0.10984848484848485,0.13636363636363635,0.7537878787878788,0.47716321781535703
punching,263,0.4866920152091255,0.2623574144486692,0.2509505703422053,0.4774363992286046
crawling,260,0.5346153846153846,0.2230769230769231,0.2423076923076923,0.4782653786419703
barn,260,0.5038461538461538,0.1576923076923077,0.3384615384615385,0.4782653786419703
telling,257,0.2607003891050584,0.17509727626459143,0.5642023346303502,0.4791088312252652
strike,256,0.26953125,0.19140625,0.5390625,0.47939327149162264
nails,256,0.53515625,0.21875,0.24609375,0.47939327149162264
plain,254,0.5196850393700787,0.2440944881889764,0.23622047244094488,0.47996718308619585
crib,254,0.6338582677165354,0.14566929133858267,0.2204724409448819,0.47996718308619585
purchase,253,0.2134387351778656,0.2885375494071146,0.4980237154150198,0.48025668751365225
diner,252,0.5238095238095238,0.21031746031746032,0.26587301587301587,0.48054791347668835
fashion,247,0.27530364372469635,0.22267206477732793,0.5020242914979757,0.4820304743434195
spring,246,0.2886178861788618,0.1910569105691057,0.5203252032520326,0.4823323977832478
desks,245,0.5102040816326531,0.2530612244897959,0.23673469387755103,0.4826361678528078
steak,244,0.6188524590163934,0.04918032786885246,0.3319672131147541,0.4829418034531662
grandmother,242,0.30991735537190085,0.16942148760330578,0.5206611570247934,0.48355874821539024
skydiving,241,0.6141078838174274,0.16182572614107885,0.22406639004149378,0.4838700965595055
potatoes,240,0.625,0.14583333333333334,0.22916666666666666,0.48418338880937056
rescue,240,0.23333333333333334,0.2625,0.5041666666666667,0.48418338880937056
banana,237,0.5358649789029536,0.1940928270042194,0.270042194092827,0.48513513361659416
teaches,237,0.25738396624472576,0.20675105485232068,0.5358649789029536,0.48513513361659416
chips,235,0.48936170212765956,0.22127659574468084,0.28936170212765955,0.4857797301478962
deserted,233,0.6394849785407726,0.15450643776824036,0.20600858369098712,0.48643260849623604
hide,232,0.3275862068965517,0.125,0.5474137931034483,0.4867622090395465
raise,232,0.25,0.2629310344827586,0.4870689655172414,0.4867622090395465
charity,232,0.09482758620689655,0.06896551724137931,0.8362068965517241,0.4867622090395465
hurt,231,0.17316017316017315,0.1774891774891775,0.6493506493506493,0.48709394753647817
daughters,231,0.2597402597402597,0.16883116883116883,0.5714285714285714,0.48709394753647817
