,n,p_0,p_1,boundary
annoying,74,0.972972972972973,0.02702702702702703,0.7807786874338638
ridiculous,74,0.8783783783783784,0.12162162162162163,0.7807786874338638
ages,73,0.0547945205479452,0.9452054794520548,0.7826952877546551
dream,73,0.1232876712328767,0.8767123287671232,0.7826952877546551
entire,73,0.8356164383561644,0.1643835616438356,0.7826952877546551
superficial,73,0.9041095890410958,0.0958904109589041,0.7826952877546551
universal,73,0.0547945205479452,0.9452054794520548,0.7826952877546551
questions,73,0.1780821917808219,0.821917808219178,0.7826952877546551
lame,72,0.9583333333333334,0.041666666666666664,0.7846516798715037
plain,72,0.8472222222222222,0.1527777777777778,0.7846516798715037
90,72,0.8888888888888888,0.1111111111111111,0.7846516798715037
chance,72,0.06944444444444445,0.9305555555555556,0.7846516798715037
amateurish,71,0.9859154929577465,0.014084507042253521,0.7866492600272034
detailed,71,0.0,1.0,0.7866492600272034
america,71,0.19718309859154928,0.8028169014084507,0.7866492600272034
wellmade,71,0.11267605633802817,0.8873239436619719,0.7866492600272034
succeeds,71,0.11267605633802817,0.8873239436619719,0.7866492600272034
unnecessary,71,1.0,0.0,0.7866492600272034
10,71,0.9154929577464789,0.08450704225352113,0.7866492600272034
natural,70,0.18571428571428572,0.8142857142857143,0.7886894940308252
suffers,70,1.0,0.0,0.7886894940308252
sappy,70,0.8285714285714286,0.17142857142857143,0.7886894940308252
hardly,70,0.8,0.2,0.7886894940308252
ripoff,70,0.9857142857142858,0.014285714285714285,0.7886894940308252
triumph,70,0.15714285714285714,0.8428571428571429,0.7886894940308252
popcorn,70,0.15714285714285714,0.8428571428571429,0.7886894940308252
except,70,0.8714285714285714,0.12857142857142856,0.7886894940308252
meandering,69,0.9565217391304348,0.043478260869565216,0.7907739217784795
typical,69,0.7971014492753623,0.2028985507246377,0.7907739217784795
horrible,69,0.9130434782608695,0.08695652173913043,0.7907739217784795
frustrating,69,0.855072463768116,0.14492753623188406,0.7907739217784795
dreary,68,0.9264705882352942,0.07352941176470588,0.7929041621384075
mesmerizing,68,0.0,1.0,0.7929041621384075
disaster,68,0.9558823529411765,0.04411764705882353,0.7929041621384075
attempts,68,0.8088235294117647,0.19117647058823528,0.7929041621384075
holds,67,0.08955223880597014,0.9104477611940298,0.7950819182356224
realistic,67,0.11940298507462686,0.8805970149253731,0.7950819182356224
top,67,0.19402985074626866,0.8059701492537313,0.7950819182356224
refreshingly,67,0.0,1.0,0.7950819182356224
provides,66,0.045454545454545456,0.9545454545454546,0.7973089831752984
elegant,66,0.0,1.0,0.7973089831752984
yarn,66,0.045454545454545456,0.9545454545454546,0.7973089831752984
stunning,66,0.0,1.0,0.7973089831752984
credit,66,0.18181818181818182,0.8181818181818182,0.7973089831752984
grant,66,0.16666666666666666,0.8333333333333334,0.7973089831752984
oddly,66,0.06060606060606061,0.9393939393939394,0.7973089831752984
absorbing,66,0.07575757575757576,0.9242424242424242,0.7973089831752984
inept,66,1.0,0.0,0.7973089831752984
weak,66,0.8939393939393939,0.10606060606060606,0.7973089831752984
riveting,66,0.0,1.0,0.7973089831752984
dazzling,65,0.0,1.0,0.7995872462486235
shame,65,0.8307692307692308,0.16923076923076924,0.7995872462486235
superb,65,0.1076923076923077,0.8923076923076924,0.7995872462486235
reveals,65,0.09230769230769231,0.9076923076923077,0.7995872462486235
lazy,64,0.84375,0.15625,0.8019186996699239
crisp,64,0.046875,0.953125,0.8019186996699239
amazing,64,0.015625,0.984375,0.8019186996699239
editing,64,0.9375,0.0625,0.8019186996699239
badly,64,1.0,0.0,0.8019186996699239
achievement,63,0.19047619047619047,0.8095238095238095,0.8043054458996637
bullock,63,0.19047619047619047,0.8095238095238095,0.8043054458996637
bore,62,0.9838709677419355,0.016129032258064516,0.8067497056145017
listless,62,1.0,0.0,0.8067497056145017
exquisite,62,0.016129032258064516,0.9838709677419355,0.8067497056145017
admirable,62,0.14516129032258066,0.8548387096774194,0.8067497056145017
creates,62,0.06451612903225806,0.9354838709677419,0.8067497056145017
routine,62,0.8387096774193549,0.16129032258064516,0.8067497056145017
ludicrous,62,0.9354838709677419,0.06451612903225806,0.8067497056145017
undeniably,62,0.0967741935483871,0.9032258064516129,0.8067497056145017
substance,62,0.8387096774193549,0.16129032258064516,0.8067497056145017
lousy,61,1.0,0.0,0.809253826393073
pathetic,61,0.9180327868852459,0.08196721311475409,0.809253826393073
thoughtprovoking,61,0.0,1.0,0.809253826393073
means,61,0.16393442622950818,0.8360655737704918,0.809253826393073
pay,60,0.95,0.05,0.8118202921947237
quickly,60,0.8333333333333334,0.16666666666666666,0.8118202921947237
poignant,60,0.11666666666666667,0.8833333333333333,0.8118202921947237
holes,59,0.9830508474576272,0.01694915254237288,0.8144517337181905
sides,59,0.1694915254237288,0.8305084745762712,0.8144517337181905
tender,59,0.0,1.0,0.8144517337181905
repetitive,59,0.9830508474576272,0.01694915254237288,0.8144517337181905
happy,59,0.15254237288135594,0.847457627118644,0.8144517337181905
faith,59,0.11864406779661017,0.8813559322033898,0.8144517337181905
evocative,59,0.0,1.0,0.8144517337181905
cheesy,59,0.8305084745762712,0.1694915254237288,0.8144517337181905
friendship,58,0.15517241379310345,0.8448275862068966,0.8171509397384287
gifted,58,0.1206896551724138,0.8793103448275862,0.8171509397384287
revealing,58,0.1724137931034483,0.8275862068965517,0.8171509397384287
humorous,58,0.06896551724137931,0.9310344827586207,0.8171509397384287
glimpse,58,0.05172413793103448,0.9482758620689655,0.8171509397384287
offbeat,58,0.08620689655172414,0.9137931034482759,0.8171509397384287
heavy,58,0.8448275862068966,0.15517241379310345,0.8171509397384287
color,58,0.05172413793103448,0.9482758620689655,0.8171509397384287
perspective,57,0.05263157894736842,0.9473684210526315,0.8199208695326539
unpleasant,57,0.9473684210526315,0.05263157894736842,0.8199208695326539
delightfully,57,0.017543859649122806,0.9824561403508771,0.8199208695326539
grossout,57,0.8596491228070176,0.14035087719298245,0.8199208695326539
flair,57,0.08771929824561403,0.9122807017543859,0.8199208695326539
designed,57,0.8596491228070176,0.14035087719298245,0.8199208695326539
haunting,57,0.07017543859649122,0.9298245614035088,0.8199208695326539
blue,57,0.14035087719298245,0.8596491228070176,0.8199208695326539
sign,56,0.8928571428571429,0.10714285714285714,0.8227646665214725
virtually,56,0.9821428571428571,0.017857142857142856,0.8227646665214725
laughter,56,0.14285714285714285,0.8571428571428571,0.8227646665214725
accomplished,56,0.017857142857142856,0.9821428571428571,0.8227646665214725
exhilarating,56,0.14285714285714285,0.8571428571428571,0.8227646665214725
retread,56,0.9107142857142857,0.08928571428571429,0.8227646665214725
modest,55,0.03636363636363636,0.9636363636363636,0.8256856732680697
cliched,55,0.9454545454545454,0.05454545454545454,0.8256856732680697
force,55,0.14545454545454545,0.8545454545454545,0.8256856732680697
artificial,55,0.8727272727272727,0.12727272727272726,0.8256856732680697
formulaic,55,0.8545454545454545,0.14545454545454545,0.8256856732680697
quietly,55,0.03636363636363636,0.9636363636363636,0.8256856732680697
feelgood,55,0.05454545454545454,0.9454545454545454,0.8256856732680697
vibrant,55,0.0,1.0,0.8256856732680697
consistently,55,0.01818181818181818,0.9818181818181818,0.8256856732680697
fatal,54,0.8703703703703703,0.12962962962962962,0.8286874479981837
noir,54,0.14814814814814814,0.8518518518518519,0.8286874479981837
imax,54,0.037037037037037035,0.9629629629629629,0.8286874479981837
bears,54,0.8333333333333334,0.16666666666666666,0.8286874479981837
joke,53,0.8679245283018868,0.1320754716981132,0.8317737828265249
obnoxious,53,0.9811320754716981,0.018867924528301886,0.8317737828265249
delights,53,0.05660377358490566,0.9433962264150944,0.8317737828265249
missing,53,0.8679245283018868,0.1320754716981132,0.8317737828265249
bored,53,0.8679245283018868,0.1320754716981132,0.8317737828265249
unconvincing,53,1.0,0.0,0.8317737828265249
buoyant,53,0.03773584905660377,0.9622641509433962,0.8317737828265249
enjoyed,52,0.0,1.0,0.8349487239019455
irritating,52,1.0,0.0,0.8349487239019455
hugely,52,0.11538461538461539,0.8846153846153846,0.8349487239019455
timely,52,0.038461538461538464,0.9615384615384616,0.8349487239019455
clumsy,52,0.9230769230769231,0.07692307692307693,0.8349487239019455
loses,52,0.9615384615384616,0.038461538461538464,0.8349487239019455
washington,52,0.019230769230769232,0.9807692307692307,0.8349487239019455
masterful,52,0.0,1.0,0.8349487239019455
rewarding,52,0.0,1.0,0.8349487239019455
disappointing,51,0.8431372549019608,0.1568627450980392,0.8382165937147428
bother,51,1.0,0.0,0.8382165937147428
visceral,51,0.11764705882352941,0.8823529411764706,0.8382165937147428
plotting,51,0.9803921568627451,0.0196078431372549,0.8382165937147428
logic,51,0.9607843137254902,0.0392156862745098,0.8382165937147428
unimaginative,51,1.0,0.0,0.8382165937147428
eloquent,51,0.0196078431372549,0.9803921568627451,0.8382165937147428
deadly,51,0.9019607843137255,0.09803921568627451,0.8382165937147428
gradually,51,0.11764705882352941,0.8823529411764706,0.8382165937147428
hearts,51,0.0,1.0,0.8382165937147428
astonishing,51,0.0392156862745098,0.9607843137254902,0.8382165937147428
unfocused,50,0.98,0.02,0.8415820158458045
uplifting,50,0.0,1.0,0.8415820158458045
directorial,50,0.12,0.88,0.8415820158458045
crap,50,1.0,0.0,0.8415820158458045
incoherent,50,0.98,0.02,0.8415820158458045
unpredictable,50,0.02,0.98,0.8415820158458045
undeniable,50,0.04,0.96,0.8415820158458045
wannabe,50,0.92,0.08,0.8415820158458045
save,49,0.8979591836734694,0.10204081632653061,0.8450499424799129
affecting,49,0.061224489795918366,0.9387755102040817,0.8450499424799129
outstanding,49,0.0,1.0,0.8450499424799129
crude,49,0.8571428571428571,0.14285714285714285,0.8450499424799129
poem,49,0.061224489795918366,0.9387755102040817,0.8450499424799129
joyous,49,0.0,1.0,0.8450499424799129
resist,49,0.08163265306122448,0.9183673469387755,0.8450499424799129
absurd,49,0.8775510204081632,0.12244897959183673,0.8450499424799129
deft,48,0.0,1.0,0.8486256850556246
stuck,48,0.9375,0.0625,0.8486256850556246
grandeur,48,0.14583333333333334,0.8541666666666666,0.8486256850556246
choppy,48,1.0,0.0,0.8486256850556246
roll,48,0.125,0.875,0.8486256850556246
lyrical,48,0.14583333333333334,0.8541666666666666,0.8486256850556246
intoxicating,48,0.041666666666666664,0.9583333333333334,0.8486256850556246
sensual,48,0.0,1.0,0.8486256850556246
pleasures,48,0.041666666666666664,0.9583333333333334,0.8486256850556246
fantastic,48,0.041666666666666664,0.9583333333333334,0.8486256850556246
weight,48,0.9375,0.0625,0.8486256850556246
assured,48,0.08333333333333333,0.9166666666666666,0.8486256850556246
vapid,47,1.0,0.0,0.8523149484832706
seagal,47,0.8936170212765957,0.10638297872340426,0.8523149484832706
courage,47,0.02127659574468085,0.9787234042553191,0.8523149484832706
shoot,47,0.9361702127659575,0.06382978723404255,0.8523149484832706
charmer,47,0.02127659574468085,0.9787234042553191,0.8523149484832706
wry,47,0.0,1.0,0.8523149484832706
captivating,47,0.1276595744680851,0.8723404255319149,0.8523149484832706
heartbreaking,47,0.0425531914893617,0.9574468085106383,0.8523149484832706
tears,47,0.02127659574468085,0.9787234042553191,0.8523149484832706
missed,46,0.8695652173913043,0.13043478260869565,0.8561238694326118
unoriginal,46,0.9565217391304348,0.043478260869565216,0.8561238694326118
collection,46,0.8695652173913043,0.13043478260869565,0.8561238694326118
hopeful,46,0.0,1.0,0.8561238694326118
lawrence,46,0.9565217391304348,0.043478260869565216,0.8561238694326118
sour,46,1.0,0.0,0.8561238694326118
banal,46,0.9565217391304348,0.043478260869565216,0.8561238694326118
vividly,46,0.0,1.0,0.8561238694326118
unlikable,46,1.0,0.0,0.8561238694326118
splendid,46,0.0,1.0,0.8561238694326118
sink,46,0.9347826086956522,0.06521739130434782,0.8561238694326118
murky,46,0.9347826086956522,0.06521739130434782,0.8561238694326118
resonant,46,0.10869565217391304,0.8913043478260869,0.8561238694326118
positive,46,0.13043478260869565,0.8695652173913043,0.8561238694326118
deftly,45,0.13333333333333333,0.8666666666666667,0.860059059274823
gem,45,0.06666666666666667,0.9333333333333333,0.860059059274823
bittersweet,45,0.022222222222222223,0.9777777777777777,0.860059059274823
freshness,45,0.08888888888888889,0.9111111111111111,0.860059059274823
portrayal,45,0.022222222222222223,0.9777777777777777,0.860059059274823
strength,45,0.044444444444444446,0.9555555555555556,0.860059059274823
charismatic,45,0.06666666666666667,0.9333333333333333,0.860059059274823
spirits,45,0.044444444444444446,0.9555555555555556,0.860059059274823
plodding,44,0.9772727272727273,0.022727272727272728,0.8641276523625949
minds,44,0.09090909090909091,0.9090909090909091,0.8641276523625949
cult,44,0.09090909090909091,0.9090909090909091,0.8641276523625949
pulls,44,0.09090909090909091,0.9090909090909091,0.8641276523625949
richer,44,0.06818181818181818,0.9318181818181818,0.8641276523625949
spooky,43,0.06976744186046512,0.9302325581395349,0.8683373604507394
artists,43,0.11627906976744186,0.8837209302325582,0.8683373604507394
band,43,0.11627906976744186,0.8837209302325582,0.8683373604507394
exceptional,43,0.046511627906976744,0.9534883720930233,0.8683373604507394
queen,43,0.9534883720930233,0.046511627906976744,0.8683373604507394
compassion,43,0.06976744186046512,0.9302325581395349,0.8683373604507394
breathtaking,43,0.0,1.0,0.8683373604507394
bold,43,0.023255813953488372,0.9767441860465116,0.8683373604507394
trite,43,0.9069767441860465,0.09302325581395349,0.8683373604507394
smug,42,0.9523809523809523,0.047619047619047616,0.8726965342021439
nightmare,42,0.9047619047619048,0.09523809523809523,0.8726965342021439
sweetly,42,0.0,1.0,0.8726965342021439
adventurous,42,0.07142857142857142,0.9285714285714286,0.8726965342021439
indian,42,0.023809523809523808,0.9761904761904762,0.8726965342021439
immensely,42,0.0,1.0,0.8726965342021439
soulful,42,0.023809523809523808,0.9761904761904762,0.8726965342021439
preachy,42,1.0,0.0,0.8726965342021439
stirring,42,0.0,1.0,0.8726965342021439
nowhere,42,1.0,0.0,0.8726965342021439
sweetness,42,0.09523809523809523,0.9047619047619048,0.8726965342021439
measure,42,0.023809523809523808,0.9761904761904762,0.8726965342021439
unforced,42,0.0,1.0,0.8726965342021439
magnificent,42,0.09523809523809523,0.9047619047619048,0.8726965342021439
spectacular,42,0.09523809523809523,0.9047619047619048,0.8726965342021439
awkward,42,1.0,0.0,0.8726965342021439
paperthin,41,1.0,0.0,0.877214232895746
pretends,41,0.926829268292683,0.07317073170731707,0.877214232895746
shapeless,41,1.0,0.0,0.877214232895746
polished,41,0.0,1.0,0.877214232895746
heavyhanded,41,0.9512195121951219,0.04878048780487805,0.877214232895746
relentlessly,41,0.9024390243902439,0.0975609756097561,0.877214232895746
topnotch,40,0.025,0.975,0.8819003036613146
tiny,40,0.075,0.925,0.8819003036613146
sadness,40,0.1,0.9,0.8819003036613146
startling,40,0.0,1.0,0.8819003036613146
relief,40,0.0,1.0,0.8819003036613146
happening,40,0.9,0.1,0.8819003036613146
confident,40,0.025,0.975,0.8819003036613146
unfortunately,40,0.925,0.075,0.8819003036613146
artistic,40,0.05,0.95,0.8819003036613146
sympathetic,40,0.0,1.0,0.8819003036613146
faithful,40,0.05,0.95,0.8819003036613146
witch,39,0.8974358974358975,0.10256410256410256,0.8867654718190199
gritty,39,0.05128205128205128,0.9487179487179487,0.8867654718190199
sparkling,39,0.05128205128205128,0.9487179487179487,0.8867654718190199
honesty,39,0.0,1.0,0.8867654718190199
flimsy,39,1.0,0.0,0.8867654718190199
teacher,39,0.05128205128205128,0.9487179487179487,0.8867654718190199
witless,39,1.0,0.0,0.8867654718190199
pleasing,39,0.0,1.0,0.8867654718190199
roles,39,0.05128205128205128,0.9487179487179487,0.8867654718190199
exploitation,39,1.0,0.0,0.8867654718190199
disguise,39,1.0,0.0,0.8867654718190199
musical,39,0.02564102564102564,0.9743589743589743,0.8867654718190199
uninspired,39,0.9743589743589743,0.02564102564102564,0.8867654718190199
recycled,38,0.9473684210526315,0.05263157894736842,0.8918214442112555
appears,38,1.0,0.0,0.8918214442112555
leaden,38,0.9736842105263158,0.02631578947368421,0.8918214442112555
imagery,38,0.07894736842105263,0.9210526315789473,0.8918214442112555
sand,38,0.07894736842105263,0.9210526315789473,0.8918214442112555
treasure,38,0.02631578947368421,0.9736842105263158,0.8918214442112555
inevitable,38,0.8947368421052632,0.10526315789473684,0.8918214442112555
enthusiastic,38,0.10526315789473684,0.8947368421052632,0.8918214442112555
skip,38,0.9473684210526315,0.05263157894736842,0.8918214442112555
ahead,38,0.0,1.0,0.8918214442112555
shooting,38,0.9736842105263158,0.02631578947368421,0.8918214442112555
strikes,38,0.0,1.0,0.8918214442112555
aplomb,38,0.0,1.0,0.8918214442112555
seconds,38,0.8947368421052632,0.10526315789473684,0.8918214442112555
walked,38,0.9210526315789473,0.07894736842105263,0.8918214442112555
thrill,38,0.0,1.0,0.8918214442112555
guessing,38,0.0,1.0,0.8918214442112555
hastily,38,1.0,0.0,0.8918214442112555
depiction,38,0.07894736842105263,0.9210526315789473,0.8918214442112555
breathtakingly,37,0.0,1.0,0.8970810277942863
convenient,37,0.918918918918919,0.08108108108108109,0.8970810277942863
irresistible,37,0.0,1.0,0.8970810277942863
soulless,37,1.0,0.0,0.8970810277942863
doze,37,1.0,0.0,0.8970810277942863
delicious,37,0.0,1.0,0.8970810277942863
accept,37,0.08108108108108109,0.918918918918919,0.8970810277942863
overwrought,37,0.918918918918919,0.08108108108108109,0.8970810277942863
dumbeddown,37,0.972972972972973,0.02702702702702703,0.8970810277942863
juvenile,37,0.918918918918919,0.08108108108108109,0.8970810277942863
feat,37,0.02702702702702703,0.972972972972973,0.8970810277942863
potent,37,0.0,1.0,0.8970810277942863
charmless,37,0.972972972972973,0.02702702702702703,0.8970810277942863
terribly,37,0.9459459459459459,0.05405405405405406,0.8970810277942863
lively,37,0.02702702702702703,0.972972972972973,0.8970810277942863
desperately,37,0.918918918918919,0.08108108108108109,0.8970810277942863
lifeless,37,1.0,0.0,0.8970810277942863
spirited,37,0.05405405405405406,0.9459459459459459,0.8970810277942863
communal,37,0.02702702702702703,0.972972972972973,0.8970810277942863
delivering,37,0.0,1.0,0.8970810277942863
niche,37,0.08108108108108109,0.918918918918919,0.8970810277942863
integrity,36,0.027777777777777776,0.9722222222222222,0.9025582662265652
goodnatured,36,0.08333333333333333,0.9166666666666666,0.9025582662265652
pile,36,0.9722222222222222,0.027777777777777776,0.9025582662265652
deceptively,36,0.027777777777777776,0.9722222222222222,0.9025582662265652
dubbed,36,1.0,0.0,0.9025582662265652
rehash,36,0.9444444444444444,0.05555555555555555,0.9025582662265652
spite,36,0.08333333333333333,0.9166666666666666,0.9025582662265652
constant,36,0.0,1.0,0.9025582662265652
smartly,36,0.0,1.0,0.9025582662265652
son,36,0.08333333333333333,0.9166666666666666,0.9025582662265652
clumsily,36,0.9722222222222222,0.027777777777777776,0.9025582662265652
traditional,35,0.08571428571428572,0.9142857142857143,0.9082685977730197
labored,35,1.0,0.0,0.9082685977730197
rent,35,0.9142857142857143,0.08571428571428572,0.9082685977730197
sweeping,35,0.08571428571428572,0.9142857142857143,0.9082685977730197
draws,35,0.0,1.0,0.9082685977730197
embarrassment,35,0.9142857142857143,0.08571428571428572,0.9082685977730197
proud,35,0.0,1.0,0.9082685977730197
landscape,35,0.02857142857142857,0.9714285714285714,0.9082685977730197
gently,35,0.02857142857142857,0.9714285714285714,0.9082685977730197
dullest,35,0.9714285714285714,0.02857142857142857,0.9082685977730197
spare,35,0.05714285714285714,0.9428571428571428,0.9082685977730197
appreciate,35,0.08571428571428572,0.9142857142857143,0.9082685977730197
exotic,35,0.05714285714285714,0.9428571428571428,0.9082685977730197
distasteful,35,1.0,0.0,0.9082685977730197
feces,35,0.9142857142857143,0.08571428571428572,0.9082685977730197
spell,35,0.08571428571428572,0.9142857142857143,0.9082685977730197
alternately,35,0.02857142857142857,0.9714285714285714,0.9082685977730197
embraces,34,0.0,1.0,0.9142290385716638
flow,34,0.0,1.0,0.9142290385716638
imitation,34,0.9705882352941176,0.029411764705882353,0.9142290385716638
enthralling,34,0.058823529411764705,0.9411764705882353,0.9142290385716638
wooden,34,1.0,0.0,0.9142290385716638
weirdly,34,0.058823529411764705,0.9411764705882353,0.9142290385716638
richly,34,0.0,1.0,0.9142290385716638
polanski,34,0.058823529411764705,0.9411764705882353,0.9142290385716638
tradition,34,0.058823529411764705,0.9411764705882353,0.9142290385716638
diversion,34,0.029411764705882353,0.9705882352941176,0.9142290385716638
ingenious,34,0.058823529411764705,0.9411764705882353,0.9142290385716638
soggy,34,1.0,0.0,0.9142290385716638
openness,34,0.0,1.0,0.9142290385716638
screaming,34,1.0,0.0,0.9142290385716638
behold,33,0.0,1.0,0.9204583962218613
politically,33,0.06060606060606061,0.9393939393939394,0.9204583962218613
chinese,33,0.030303030303030304,0.9696969696969697,0.9204583962218613
rewards,33,0.06060606060606061,0.9393939393939394,0.9204583962218613
transcends,33,0.030303030303030304,0.9696969696969697,0.9204583962218613
vague,33,1.0,0.0,0.9204583962218613
junk,33,1.0,0.0,0.9204583962218613
delicately,33,0.030303030303030304,0.9696969696969697,0.9204583962218613
inspirational,33,0.030303030303030304,0.9696969696969697,0.9204583962218613
lackluster,33,1.0,0.0,0.9204583962218613
inane,33,0.9393939393939394,0.06060606060606061,0.9204583962218613
unflinching,33,0.06060606060606061,0.9393939393939394,0.9204583962218613
sentiment,33,0.9393939393939394,0.06060606060606061,0.9204583962218613
gloriously,33,0.06060606060606061,0.9393939393939394,0.9204583962218613
uncommonly,32,0.0,1.0,0.9269775198072556
finely,32,0.0,1.0,0.9269775198072556
sluggish,32,1.0,0.0,0.9269775198072556
insipid,32,1.0,0.0,0.9269775198072556
rushed,32,1.0,0.0,0.9269775198072556
understands,32,0.0,1.0,0.9269775198072556
explore,32,0.0625,0.9375,0.9269775198072556
locales,32,0.03125,0.96875,0.9269775198072556
returns,32,0.0625,0.9375,0.9269775198072556
technology,32,0.0,1.0,0.9269775198072556
slapdash,32,1.0,0.0,0.9269775198072556
garbage,32,1.0,0.0,0.9269775198072556
misery,32,0.9375,0.0625,0.9269775198072556
layers,32,0.0625,0.9375,0.9269775198072556
bringing,32,0.03125,0.96875,0.9269775198072556
sumptuous,32,0.0625,0.9375,0.9269775198072556
tremendous,32,0.0625,0.9375,0.9269775198072556
subtly,32,0.03125,0.96875,0.9269775198072556
celebrates,31,0.0,1.0,0.9338095939339826
likable,31,0.06451612903225806,0.9354838709677419,0.9338095939339826
graceless,31,1.0,0.0,0.9338095939339826
loose,31,1.0,0.0,0.9338095939339826
begin,31,0.9354838709677419,0.06451612903225806,0.9338095939339826
firing,31,0.9354838709677419,0.06451612903225806,0.9338095939339826
disgusting,31,0.9354838709677419,0.06451612903225806,0.9338095939339826
pleasurable,31,0.0,1.0,0.9338095939339826
unexpectedly,31,0.03225806451612903,0.967741935483871,0.9338095939339826
encouraging,31,0.0,1.0,0.9338095939339826
drags,31,0.9354838709677419,0.06451612903225806,0.9338095939339826
astounding,31,0.06451612903225806,0.9354838709677419,0.9338095939339826
whimsical,30,0.0,1.0,0.9409804862449196
gyllenhaal,30,0.0,1.0,0.9409804862449196
mistake,30,1.0,0.0,0.9409804862449196
newcomer,30,0.03333333333333333,0.9666666666666667,0.9409804862449196
lovers,30,0.0,1.0,0.9409804862449196
incoherence,30,0.9666666666666667,0.03333333333333333,0.9409804862449196
humorless,30,0.9666666666666667,0.03333333333333333,0.9409804862449196
hokum,30,0.9666666666666667,0.03333333333333333,0.9409804862449196
insulting,30,1.0,0.0,0.9409804862449196
timeless,30,0.0,1.0,0.9409804862449196
loads,30,1.0,0.0,0.9409804862449196
redundant,30,1.0,0.0,0.9409804862449196
dancing,30,0.03333333333333333,0.9666666666666667,0.9409804862449196
enormously,30,0.0,1.0,0.9409804862449196
pity,29,1.0,0.0,0.9485191602974581
ballot,29,0.0,1.0,0.9485191602974581
confused,29,0.9655172413793104,0.034482758620689655,0.9485191602974581
enduring,29,0.0,1.0,0.9485191602974581
clueless,29,1.0,0.0,0.9485191602974581
random,29,1.0,0.0,0.9485191602974581
finest,29,0.034482758620689655,0.9655172413793104,0.9485191602974581
enormous,29,0.034482758620689655,0.9655172413793104,0.9485191602974581
impeccable,29,0.0,1.0,0.9485191602974581
unfulfilling,29,1.0,0.0,0.9485191602974581
copy,29,1.0,0.0,0.9485191602974581
insult,29,1.0,0.0,0.9485191602974581
popular,29,0.0,1.0,0.9485191602974581
souls,29,0.0,1.0,0.9485191602974581
sordid,28,1.0,0.0,0.9564581688494956
implausible,28,1.0,0.0,0.9564581688494956
inviting,28,0.0,1.0,0.9564581688494956
dickens,28,0.03571428571428571,0.9642857142857143,0.9564581688494956
muddled,28,0.9642857142857143,0.03571428571428571,0.9564581688494956
exploiting,28,0.9642857142857143,0.03571428571428571,0.9564581688494956
miracle,28,0.0,1.0,0.9564581688494956
preposterous,28,1.0,0.0,0.9564581688494956
masterfully,28,0.0,1.0,0.9564581688494956
cobbled,28,1.0,0.0,0.9564581688494956
fluid,28,0.0,1.0,0.9564581688494956
stilted,28,1.0,0.0,0.9564581688494956
satisfies,28,0.0,1.0,0.9564581688494956
clue,28,0.9642857142857143,0.03571428571428571,0.9564581688494956
thinks,28,1.0,0.0,0.9564581688494956
disposable,27,1.0,0.0,0.9648342467408328
marvelously,27,0.0,1.0,0.9648342467408328
pitchperfect,27,0.0,1.0,0.9648342467408328
chabrol,27,0.0,1.0,0.9648342467408328
gorgeously,27,0.0,1.0,0.9648342467408328
elegance,27,0.0,1.0,0.9648342467408328
collapses,27,1.0,0.0,0.9648342467408328
tepid,27,1.0,0.0,0.9648342467408328
obligatory,27,1.0,0.0,0.9648342467408328
stinker,27,1.0,0.0,0.9648342467408328
grownup,27,0.0,1.0,0.9648342467408328
recovery,27,0.0,1.0,0.9648342467408328
britney,27,1.0,0.0,0.9648342467408328
wonders,26,0.0,1.0,0.9736890280416928
dawns,26,0.0,1.0,0.9736890280416928
dimwitted,26,1.0,0.0,0.9736890280416928
sleep,26,1.0,0.0,0.9736890280416928
sneaks,26,0.0,1.0,0.9736890280416928
sobering,26,0.0,1.0,0.9736890280416928
excesses,26,1.0,0.0,0.9736890280416928
kidman,26,0.0,1.0,0.9736890280416928
impersonal,26,1.0,0.0,0.9736890280416928
drown,26,1.0,0.0,0.9736890280416928
sensitivity,26,0.0,1.0,0.9736890280416928
expressive,26,0.0,1.0,0.9736890280416928
ruined,26,1.0,0.0,0.9736890280416928
stiff,26,1.0,0.0,0.9736890280416928
blandness,26,1.0,0.0,0.9736890280416928
dahmer,25,1.0,0.0,0.9830699194718782
whiny,25,1.0,0.0,0.9830699194718782
idiotic,25,1.0,0.0,0.9830699194718782
sly,25,0.0,1.0,0.9830699194718782
busy,25,1.0,0.0,0.9830699194718782
fiennes,25,1.0,0.0,0.9830699194718782
shines,25,0.0,1.0,0.9830699194718782
flashes,25,0.0,1.0,0.9830699194718782
emptiness,25,1.0,0.0,0.9830699194718782
solidly,25,0.0,1.0,0.9830699194718782
fits,25,0.0,1.0,0.9830699194718782
bracing,25,0.0,1.0,0.9830699194718782
toilet,25,1.0,0.0,0.9830699194718782
nonsense,25,1.0,0.0,0.9830699194718782
growth,24,0.0,1.0,0.9930311719972756
hack,24,1.0,0.0,0.9930311719972756
untalented,24,1.0,0.0,0.9930311719972756
failing,24,1.0,0.0,0.9930311719972756
contribution,24,0.0,1.0,0.9930311719972756
pit,24,1.0,0.0,0.9930311719972756
format,24,0.0,1.0,0.9930311719972756
wide,24,0.0,1.0,0.9930311719972756
costly,24,1.0,0.0,0.9930311719972756
wholesome,24,0.0,1.0,0.9930311719972756
lifts,24,0.0,1.0,0.9930311719972756
korean,24,0.0,1.0,0.9930311719972756
idiots,24,1.0,0.0,0.9930311719972756
hollow,24,1.0,0.0,0.9930311719972756
